District Name,Year,Total Operating Revenue,Student Count,Campus Name,County Name,Region,Region Name,ERW,SAT Math,SAT Total,ACT English,ACT Math,ACT Reading,ACT Science,ACT Compos,per student budget
huntsville isd,2022,156195697.0,15260,Huntsville HS,Walker County,6.0,Huntsville,502.0,474.0,976.0,17.0,18.5,20.2,18.8,18.8,10235
yes prep public schools inc,2022,214413090.0,14557,YES Prep-East End,Harris County,4.0,Houston,486.0,501.0,987.0,18.8,18.5,22.5,20.0,20.3,14729
forney isd,2022,145493015.0,14314,North Forney HS,Kaufman County,10.0,Richardson,533.0,508.0,1041.0,18.2,19.0,20.1,19.8,19.4,10164
forney isd,2022,145493015.0,14314,Forney HS,Kaufman County,10.0,Richardson,564.0,549.0,1113.0,19.4,20.7,21.4,21.0,20.7,10164
college station isd,2022,147249537.0,14138,A&M Cons HS,Brazos County,6.0,Huntsville,577.0,578.0,1155.0,22.1,22.7,24.0,23.2,23.2,10415
college station isd,2022,147249537.0,14138,College Station HS,Brazos County,6.0,Huntsville,559.0,566.0,1125.0,22.3,23.3,24.6,23.9,23.7,10415
waco isd,2022,205203981.0,14066,Waco HS,McLennan County,12.0,Waco,462.0,454.0,916.0,14.9,16.8,16.8,17.2,16.6,14588
waco isd,2022,205203981.0,14066,University HS,McLennan County,12.0,Waco,465.0,451.0,915.0,14.5,15.9,16.2,16.8,15.9,14588
grapevine-colleyville isd,2022,147319110.0,13930,Grapevine-Colleyville Collegiate,Tarrant County,11.0,Fort Worth,536.0,517.0,1053.0,23.6,22.2,24.7,21.4,23.2,10575
grapevine-colleyville isd,2022,147319110.0,13930,iUniversity Prep,Tarrant County,11.0,Fort Worth,607.0,573.0,1180.0,24.6,22.3,25.2,23.8,24.1,10575
grapevine-colleyville isd,2022,147319110.0,13930,Colleyville Heritage HS,Tarrant County,11.0,Fort Worth,564.0,550.0,1114.0,25.0,23.8,25.6,24.4,24.8,10575
grapevine-colleyville isd,2022,147319110.0,13930,Grapevine HS,Tarrant County,11.0,Fort Worth,564.0,541.0,1104.0,24.4,24.1,26.7,24.9,25.2,10575
mission cisd,2022,225612323.0,13838,Mission HS,Hidalgo County,1.0,Edinburg,470.0,465.0,935.0,15.6,17.2,18.5,17.5,17.3,16303
mission cisd,2022,225612323.0,13838,Mission Collegiate HS,Hidalgo County,1.0,Edinburg,517.0,515.0,1032.0,18.4,19.2,21.8,20.2,20.0,16303
mission cisd,2022,225612323.0,13838,Veterans Memorial HS,Hidalgo County,1.0,Edinburg,486.0,458.0,944.0,17.4,18.0,21.1,18.5,18.9,16303
san angelo isd,2022,154478142.0,13798,Lake View HS,Tom Green County,15.0,San Angelo,441.0,423.0,864.0,21.7,20.7,22.5,20.8,21.5,11195
san angelo isd,2022,154478142.0,13798,Central HS,Tom Green County,15.0,San Angelo,478.0,472.0,949.0,20.8,21.3,22.6,21.8,21.7,11195
magnolia isd,2022,144969111.0,13613,Magnolia West HS,Montgomery County,6.0,Huntsville,518.0,508.0,1026.0,21.2,21.3,23.7,22.7,22.4,10649
magnolia isd,2022,144969111.0,13613,Magnolia HS,Montgomery County,6.0,Huntsville,507.0,505.0,1012.0,22.1,23.3,24.1,23.9,23.5,10649
wichita falls isd,2022,161615481.0,13371,Hirschi HS,Wichita County,9.0,Wichita Falls,487.0,463.0,950.0,13.4,16.6,16.5,15.7,15.7,12087
wichita falls isd,2022,161615481.0,13371,Wichita Falls HS,Wichita County,9.0,Wichita Falls,509.0,496.0,1005.0,17.4,19.5,19.7,20.0,19.3,12087
wichita falls isd,2022,161615481.0,13371,Rider HS,Wichita County,9.0,Wichita Falls,562.0,534.0,1097.0,21.4,20.8,23.0,22.5,22.0,12087
eagle pass isd,2022,190671774.0,13358,CC Winn HS,Maverick County,20.0,San Antonio,456.0,442.0,898.0,21.5,20.0,27.0,21.5,22.5,14273
